(n, d, k);[Gematria of ELS];Gematria WordTotal of ELS;ELS Search Term;Found in WordNumber In Text;WordCoordinatesDWTK;Found in Word In Text;LetterPositionIndex In Word;LetterCoordinatesD5K of First Letter in ELS;Found In Verse
(17281, 31, 4);[100, 10, 1, 50];161;קיאן;4632;(1, 14, 24, 6, 4632);וחלק;4;(1, 14, 24, 24, 17281);בלעדי רק אשר אכלו הנערים וחלק האנשים אשר הלכו אתי ענר אשכל וממרא הם יקחו חלקם
(24418, 31, 4);[100, 10, 1, 50];161;קיאן;6502;(1, 20, 2, 12, 6502);ויקח;3;(1, 20, 2, 46, 24418);ויאמר אברהם אל שרה אשתו אחתי הוא וישלח אבימלך מלך גרר ויקח את שרה
(73703, 32, 4);[100, 10, 1, 50];161;קיאן;19476;(1, 47, 29, 5, 19476);ויקרא;3;(1, 47, 29, 21, 73703);ויקרבו ימי ישראל למות ויקרא לבנו ליוסף ויאמר לו אם נא מצאתי חן בעיניך שים נא ידך תחת ירכי ועשית עמדי חסד ואמת אל נא תקברני במצרים
(45980, 36, 4);[100, 10, 1, 50];161;קיאן;12259;(1, 31, 45, 2, 12259);יעקב;3;(1, 31, 45, 7, 45980);ויקח יעקב אבן וירימה מצבה
(69573, 36, 4);[100, 10, 1, 50];161;קיאן;18410;(1, 45, 16, 1, 18410);והקל;3;(1, 45, 16, 3, 69573);והקל נשמע בית פרעה לאמר באו אחי יוסף וייטב בעיני פרעה ובעיני עבדיו
(38889, 37, 4);[100, 10, 1, 50];161;קיאן;10344;(1, 28, 6, 7, 10344);יעקב;3;(1, 28, 6, 21, 38889);וירא עשו כי ברך יצחק את יעקב ושלח אתו פדנה ארם לקחת לו משם אשה בברכו אתו ויצו עליו לאמר לא תקח אשה מבנות כנען
(25780, 39, 4);[100, 10, 1, 50];161;קיאן;6874;(1, 21, 10, 17, 6874);יצחק;4;(1, 21, 10, 57, 25780);ותאמר לאברהם גרש האמה הזאת ואת בנה כי לא יירש בן האמה הזאת עם בני עם יצחק
(46997, 41, 4);[100, 10, 1, 50];161;קיאן;12522;(1, 32, 11, 1, 12522);קטנתי;1;(1, 32, 11, 1, 46997);קטנתי מכל החסדים ומכל האמת אשר עשית את עבדך כי במקלי עברתי את הירדן הזה ועתה הייתי לשני מחנות
(11399, 42, 4);[100, 10, 1, 50];161;קיאן;3068;(1, 9, 24, 10, 3068);הקטן;2;(1, 9, 24, 31, 11399);וייקץ נח מיינו וידע את אשר עשה לו בנו הקטן
(8074, 43, 4);[100, 10, 1, 50];161;קיאן;2161;(1, 7, 3, 7, 2161);ונקבה;3;(1, 7, 3, 25, 8074);גם מעוף השמים שבעה שבעה זכר ונקבה לחיות זרע על פני כל הארץ
(21376, 43, 4);[100, 10, 1, 50];161;קיאן;5712;(1, 18, 19, 15, 5712);צדקה;3;(1, 18, 19, 57, 21376);כי ידעתיו למען אשר יצוה את בניו ואת ביתו אחריו ושמרו דרך יהוה לעשות צדקה ומשפט למען הביא יהוה על אברהם את אשר דבר עליו
(29466, 43, 4);[100, 10, 1, 50];161;קיאן;7871;(1, 24, 3, 9, 7871);תקח;2;(1, 24, 3, 37, 29466);ואשביעך ביהוה אלהי השמים ואלהי הארץ אשר לא תקח אשה לבני מבנות הכנעני אשר אנכי יושב בקרבו
(49343, 44, 4);[100, 10, 1, 50];161;קיאן;13150;(1, 34, 4, 7, 13150);קח;1;(1, 34, 4, 23, 49343);ויאמר שכם אל חמור אביו לאמר קח לי את הילדה הזאת לאשה
(27152, 45, 4);[100, 10, 1, 50];161;קיאן;7247;(1, 22, 3, 13, 7247);יצחק;4;(1, 22, 3, 49, 27152);וישכם אברהם בבקר ויחבש את חמרו ויקח את שני נעריו אתו ואת יצחק בנו ויבקע עצי עלה ויקם וילך אל המקום אשר אמר לו האלהים
(64303, 47, 4);[100, 10, 1, 50];161;קיאן;17067;(1, 42, 27, 4, 17067);שקו;2;(1, 42, 27, 13, 64303);ויפתח האחד את שקו לתת מספוא לחמרו במלון וירא את כספו והנה הוא בפי אמתחתו
(65865, 47, 4);[100, 10, 1, 50];161;קיאן;17468;(1, 43, 15, 12, 17468);ויקמו;3;(1, 43, 15, 49, 65865);ויקחו האנשים את המנחה הזאת ומשנה כסף לקחו בידם ואת בנימן ויקמו וירדו מצרים ויעמדו לפני יוסף
(26870, 50, 4);[100, 10, 1, 50];161;קיאן;7172;(1, 21, 32, 5, 7172);ויקם;3;(1, 21, 32, 20, 26870);ויכרתו ברית בבאר שבע ויקם אבימלך ופיכל שר צבאו וישבו אל ארץ פלשתים
(48830, 50, 4);[100, 10, 1, 50];161;קיאן;13008;(1, 33, 13, 12, 13008);ודפקום;4;(1, 33, 13, 49, 48830);ויאמר אליו אדני ידע כי הילדים רכים והצאן והבקר עלות עלי ודפקום יום אחד ומתו כל הצאן
(32908, 51, 4);[100, 10, 1, 50];161;קיאן;8774;(1, 25, 2, 12, 8774);ישבק;4;(1, 25, 2, 39, 32908);ותלד לו את זמרן ואת יקשן ואת מדן ואת מדין ואת ישבק ואת שוח
(76290, 53, 4);[100, 10, 1, 50];161;קיאן;20141;(1, 49, 27, 8, 20141);יחלק;4;(1, 49, 27, 32, 76290);בנימין זאב יטרף בבקר יאכל עד ולערב יחלק שלל
(50661, 54, 4);[100, 10, 1, 50];161;קיאן;13504;(1, 34, 30, 2, 13504);יעקב;3;(1, 34, 30, 8, 50661);ויאמר יעקב אל שמעון ואל לוי עכרתם אתי להבאישני בישב הארץ בכנעני ובפרזי ואני מתי מספר ונאספו עלי והכוני ונשמדתי אני וביתי
(11399, 55, 4);[100, 10, 1, 50];161;קיאן;3068;(1, 9, 24, 10, 3068);הקטן;2;(1, 9, 24, 31, 11399);וייקץ נח מיינו וידע את אשר עשה לו בנו הקטן
(40455, 56, 4);[100, 10, 1, 50];161;קיאן;10768;(1, 29, 13, 10, 10768);לקראתו;2;(1, 29, 13, 32, 40455);ויהי כשמע לבן את שמע יעקב בן אחתו וירץ לקראתו ויחבק לו וינשק לו ויביאהו אל ביתו ויספר ללבן את כל הדברים האלה
(2856, 57, 4);[100, 10, 1, 50];161;קיאן;751;(1, 2, 24, 9, 751);ודבק;4;(1, 2, 24, 27, 2856);על כן יעזב איש את אביו ואת אמו ודבק באשתו והיו לבשר אחד
(55662, 57, 4);[100, 10, 1, 50];161;קיאן;14799;(1, 37, 29, 9, 14799);ויקרע;3;(1, 37, 29, 33, 55662);וישב ראובן אל הבור והנה אין יוסף בבור ויקרע את בגדיו
(44646, 58, 4);[100, 10, 1, 50];161;קיאן;11898;(1, 31, 21, 6, 11898);ויקם;3;(1, 31, 21, 19, 44646);ויברח הוא וכל אשר לו ויקם ויעבר את הנהר וישם את פניו הר הגלעד
(15354, 59, 4);[100, 10, 1, 50];161;קיאן;4115;(1, 13, 5, 8, 4115);ובקר;3;(1, 13, 5, 26, 15354);וגם ללוט ההלך את אברם היה צאן ובקר ואהלים
(41253, 59, 4);[100, 10, 1, 50];161;קיאן;10987;(1, 29, 31, 10, 10987);עקרה;2;(1, 29, 31, 35, 41253);וירא יהוה כי שנואה לאה ויפתח את רחמה ורחל עקרה
(70553, 60, 4);[100, 10, 1, 50];161;קיאן;18666;(1, 46, 6, 3, 18666);מקניהם;2;(1, 46, 6, 9, 70553);ויקחו את מקניהם ואת רכושם אשר רכשו בארץ כנען ויבאו מצרימה יעקב וכל זרעו אתו
(31395, 64, 4);[100, 10, 1, 50];161;קיאן;8383;(1, 24, 40, 12, 8383);ולקחת;3;(1, 24, 40, 52, 31395);ויאמר אלי יהוה אשר התהלכתי לפניו ישלח מלאכו אתך והצליח דרכך ולקחת אשה לבני ממשפחתי ומבית אבי
(37868, 64, 4);[100, 10, 1, 50];161;קיאן;10064;(1, 27, 34, 7, 10064);צעקה;3;(1, 27, 34, 25, 37868);כשמע עשו את דברי אביו ויצעק צעקה גדלה ומרה עד מאד ויאמר לאביו ברכני גם אני אבי
(5209, 65, 4);[100, 10, 1, 50];161;קיאן;1389;(1, 4, 22, 15, 1389);קין;1;(1, 4, 22, 49, 5209);וצלה גם הוא ילדה את תובל קין לטש כל חרש נחשת וברזל ואחות תובל קין נעמה
(44705, 66, 4);[100, 10, 1, 50];161;קיאן;11914;(1, 31, 23, 1, 11914);ויקח;3;(1, 31, 23, 3, 44705);ויקח את אחיו עמו וירדף אחריו דרך שבעת ימים וידבק אתו בהר הגלעד
(72800, 66, 4);[100, 10, 1, 50];161;קיאן;19250;(1, 47, 16, 4, 19250);מקניכם;2;(1, 47, 16, 14, 72800);ויאמר יוסף הבו מקניכם ואתנה לכם במקניכם אם אפס כסף
(43973, 69, 4);[100, 10, 1, 50];161;קיאן;11714;(1, 31, 8, 10, 11714);נקדים;2;(1, 31, 8, 34, 43973);אם כה יאמר נקדים יהיה שכרך וילדו כל הצאן נקדים ואם כה יאמר עקדים יהיה שכרך וילדו כל הצאן עקדים
(51340, 69, 4);[100, 10, 1, 50];161;קיאן;13681;(1, 35, 10, 10, 13681);יעקב;3;(1, 35, 10, 34, 51340);ויאמר לו אלהים שמך יעקב לא יקרא שמך עוד יעקב כי אם ישראל יהיה שמך ויקרא את שמו ישראל
(74823, 71, 4);[100, 10, 1, 50];161;קיאן;19761;(1, 48, 16, 15, 19761);ויצחק;5;(1, 48, 16, 57, 74823);המלאך הגאל אתי מכל רע יברך את הנערים ויקרא בהם שמי ושם אבתי אברהם ויצחק וידגו לרב בקרב הארץ
(50989, 73, 4);[100, 10, 1, 50];161;קיאן;13586;(1, 35, 4, 3, 13586);יעקב;3;(1, 35, 4, 10, 50989);ויתנו אל יעקב את כל אלהי הנכר אשר בידם ואת הנזמים אשר באזניהם ויטמן אתם יעקב תחת האלה אשר עם שכם
(26288, 78, 4);[100, 10, 1, 50];161;קיאן;7017;(1, 21, 19, 13, 7017);ותשק;4;(1, 21, 19, 49, 26288);ויפקח אלהים את עיניה ותרא באר מים ותלך ותמלא את החמת מים ותשק את הנער
(39139, 78, 4);[100, 10, 1, 50];161;קיאן;10413;(1, 28, 11, 10, 10413);המקום;3;(1, 28, 11, 36, 39139);ויפגע במקום וילן שם כי בא השמש ויקח מאבני המקום וישם מראשתיו וישכב במקום ההוא
(42340, 78, 4);[100, 10, 1, 50];161;קיאן;11287;(1, 30, 19, 7, 11287);ליעקב;4;(1, 30, 19, 23, 42340);ותהר עוד לאה ותלד בן ששי ליעקב
(59063, 78, 4);[100, 10, 1, 50];161;קיאן;15699;(1, 40, 5, 11, 15699);המשקה;4;(1, 40, 5, 47, 59063);ויחלמו חלום שניהם איש חלמו בלילה אחד איש כפתרון חלמו המשקה והאפה אשר למלך מצרים אשר אסורים בבית הסהר
(47835, 80, 4);[100, 10, 1, 50];161;קיאן;12741;(1, 32, 26, 9, 12741);ותקע;3;(1, 32, 26, 27, 47835);וירא כי לא יכל לו ויגע בכף ירכו ותקע כף ירך יעקב בהאבקו עמו
(67606, 80, 4);[100, 10, 1, 50];161;קיאן;17891;(1, 44, 12, 4, 17891);ובקטן;3;(1, 44, 12, 16, 67606);ויחפש בגדול החל ובקטן כלה וימצא הגביע באמתחת בנימן
(38412, 82, 4);[100, 10, 1, 50];161;קיאן;10209;(1, 27, 43, 4, 10209);בקלי;2;(1, 27, 43, 12, 38412);ועתה בני שמע בקלי וקום ברח לך אל לבן אחי חרנה
(76945, 82, 4);[100, 10, 1, 50];161;קיאן;20317;(1, 50, 6, 4, 20317);וקבר;2;(1, 50, 6, 14, 76945);ויאמר פרעה עלה וקבר את אביך כאשר השביעך
(26215, 83, 4);[100, 10, 1, 50];161;קיאן;6997;(1, 21, 18, 5, 6997);והחזיקי;6;(1, 21, 18, 19, 26215);קומי שאי את הנער והחזיקי את ידך בו כי לגוי גדול אשימנו
(2856, 86, 4);[100, 10, 1, 50];161;קיאן;751;(1, 2, 24, 9, 751);ודבק;4;(1, 2, 24, 27, 2856);על כן יעזב איש את אביו ואת אמו ודבק באשתו והיו לבשר אחד
(41888, 88, 4);[100, 10, 1, 50];161;קיאן;11166;(1, 30, 9, 12, 11166);ליעקב;4;(1, 30, 9, 43, 41888);ותרא לאה כי עמדה מלדת ותקח את זלפה שפחתה ותתן אתה ליעקב לאשה
(12730, 89, 4);[100, 10, 1, 50];161;קיאן;3410;(1, 11, 2, 3, 3410);מקדם;2;(1, 11, 2, 11, 12730);ויהי בנסעם מקדם וימצאו בקעה בארץ שנער וישבו שם
(952, 93, 4);[100, 10, 1, 50];161;קיאן;242;(1, 1, 20, 14, 242);רקיע;2;(1, 1, 20, 50, 952);ויאמר אלהים ישרצו המים שרץ נפש חיה ועוף יעופף על הארץ על פני רקיע השמים
(6893, 93, 4);[100, 10, 1, 50];161;קיאן;1836;(1, 6, 2, 10, 1836);ויקחו;3;(1, 6, 2, 35, 6893);ויראו בני האלהים את בנות האדם כי טבת הנה ויקחו להם נשים מכל אשר בחרו
(21828, 95, 4);[100, 10, 1, 50];161;קיאן;5827;(1, 18, 28, 4, 5827);הצדיקם;5;(1, 18, 28, 20, 21828);אולי יחסרון חמשים הצדיקם חמשה התשחית בחמשה את כל העיר ויאמר לא אשחית אם אמצא שם ארבעים וחמשה
(36479, 95, 4);[100, 10, 1, 50];161;קיאן;9691;(1, 27, 6, 1, 9691);ורבקה;4;(1, 27, 6, 4, 36479);ורבקה אמרה אל יעקב בנה לאמר הנה שמעתי את אביך מדבר אל עשו אחיך לאמר
(17011, 96, 4);[100, 10, 1, 50];161;קיאן;4556;(1, 14, 18, 2, 4556);צדק;3;(1, 14, 18, 8, 17011);ומלכי צדק מלך שלם הוציא לחם ויין והוא כהן לאל עליון
(64873, 96, 4);[100, 10, 1, 50];161;קיאן;17211;(1, 42, 36, 13, 17211);תקחו;2;(1, 42, 36, 56, 64873);ויאמר אלהם יעקב אביהם אתי שכלתם יוסף איננו ושמעון איננו ואת בנימן תקחו עלי היו כלנה
(5296, 98, 4);[100, 10, 1, 50];161;קיאן;1411;(1, 4, 24, 4, 1411);קין;1;(1, 4, 24, 12, 5296);כי שבעתים יקם קין ולמך שבעים ושבעה
(32051, 98, 4);[100, 10, 1, 50];161;קיאן;8561;(1, 24, 51, 2, 8561);רבקה;3;(1, 24, 51, 6, 32051);הנה רבקה לפניך קח ולך ותהי אשה לבן אדניך כאשר דבר יהוה
(29121, 99, 4);[100, 10, 1, 50];161;קיאן;7777;(1, 23, 16, 17, 7777);שקל;2;(1, 23, 16, 64, 29121);וישמע אברהם אל עפרון וישקל אברהם לעפרן את הכסף אשר דבר באזני בני חת ארבע מאות שקל כסף עבר לסחר
(30411, 99, 4);[100, 10, 1, 50];161;קיאן;8125;(1, 24, 20, 5, 8125);השקת;3;(1, 24, 20, 17, 30411);ותמהר ותער כדה אל השקת ותרץ עוד אל הבאר לשאב ותשאב לכל גמליו
(70553, 99, 4);[100, 10, 1, 50];161;קיאן;18666;(1, 46, 6, 3, 18666);מקניהם;2;(1, 46, 6, 9, 70553);ויקחו את מקניהם ואת רכושם אשר רכשו בארץ כנען ויבאו מצרימה יעקב וכל זרעו אתו
(40752, 100, 4);[100, 10, 1, 50];161;קיאן;10847;(1, 29, 20, 2, 10847);יעקב;3;(1, 29, 20, 8, 40752);ויעבד יעקב ברחל שבע שנים ויהיו בעיניו כימים אחדים באהבתו אתה
(30680, 2, 4);[300, 8, 30, 5];343;שחלה;8198;(1, 24, 26, 3, 8198);וישתחו;3;(1, 24, 26, 11, 30680);ויקד האיש וישתחו ליהוה
(41902, 2, 4);[300, 8, 30, 5];343;שחלה;11170;(1, 30, 10, 3, 11170);שפחת;1;(1, 30, 10, 9, 41902);ותלד זלפה שפחת לאה ליעקב בן
(41947, 2, 4);[300, 8, 30, 5];343;שחלה;11183;(1, 30, 12, 3, 11183);שפחת;1;(1, 30, 12, 9, 41947);ותלד זלפה שפחת לאה בן שני ליעקב
(52023, 2, 4);[300, 8, 30, 5];343;שחלה;13860;(1, 35, 26, 3, 13860);שפחת;1;(1, 35, 26, 9, 52023);ובני זלפה שפחת לאה גד ואשר אלה בני יעקב אשר ילד לו בפדן ארם
(12945, 4, 4);[300, 8, 30, 5];343;שחלה;3467;(1, 11, 6, 6, 3467);ושפה;2;(1, 11, 6, 18, 12945);ויאמר יהוה הן עם אחד ושפה אחת לכלם וזה החלם לעשות ועתה לא יבצר מהם כל אשר יזמו לעשות
(20505, 4, 4);[300, 8, 30, 5];343;שחלה;5485;(1, 18, 1, 7, 5485);ישב;2;(1, 18, 1, 27, 20505);וירא אליו יהוה באלני ממרא והוא ישב פתח האהל כחם היום
(50026, 5, 4);[300, 8, 30, 5];343;שחלה;13332;(1, 34, 18, 6, 13332);שכם;1;(1, 34, 18, 28, 50026);וייטבו דבריהם בעיני חמור ובעיני שכם בן חמור
(48375, 10, 4);[300, 8, 30, 5];343;שחלה;12889;(1, 33, 4, 2, 12889);עשו;2;(1, 33, 4, 6, 48375);וירץ עשו לקראתו ויחבקהו ויפל על צוארו וישקהו ויבכו
(33637, 12, 4);[300, 8, 30, 5];343;שחלה;8960;(1, 25, 18, 10, 8960);אשורה;2;(1, 25, 18, 36, 33637);וישכנו מחוילה עד שור אשר על פני מצרים באכה אשורה על פני כל אחיו נפל
(12543, 13, 4);[300, 8, 30, 5];343;שחלה;3364;(1, 10, 28, 6, 3364);שבא;1;(1, 10, 28, 20, 12543);ואת עובל ואת אבימאל ואת שבא
(41111, 15, 4);[300, 8, 30, 5];343;שחלה;10945;(1, 29, 28, 5, 10945);שבע;1;(1, 29, 28, 16, 41111);ויעש יעקב כן וימלא שבע זאת ויתן לו את רחל בתו לו לאשה
(9758, 16, 4);[300, 8, 30, 5];343;שחלה;2617;(1, 8, 13, 3, 2617);ושש;3;(1, 8, 13, 11, 9758);ויהי באחת ושש מאות שנה בראשון באחד לחדש חרבו המים מעל הארץ ויסר נח את מכסה התבה וירא והנה חרבו פני האדמה
(22834, 16, 4);[300, 8, 30, 5];343;שחלה;6083;(1, 19, 12, 2, 6083);האנשים;4;(1, 19, 12, 10, 22834);ויאמרו האנשים אל לוט עד מי לך פה חתן ובניך ובנתיך וכל אשר לך בעיר הוצא מן המקום
(21618, 17, 4);[300, 8, 30, 5];343;שחלה;5775;(1, 18, 24, 13, 5775);חמשים;3;(1, 18, 24, 49, 21618);אולי יש חמשים צדיקם בתוך העיר האף תספה ולא תשא למקום למען חמשים הצדיקם אשר בקרבה
(7201, 20, 4);[300, 8, 30, 5];343;שחלה;1922;(1, 6, 7, 18, 1922);השמים;2;(1, 6, 7, 61, 7201);ויאמר יהוה אמחה את האדם אשר בראתי מעל פני האדמה מאדם עד בהמה עד רמש ועד עוף השמים כי נחמתי כי עשיתם
(46889, 24, 4);[300, 8, 30, 5];343;שחלה;12497;(1, 32, 9, 4, 12497);עשו;2;(1, 32, 9, 13, 46889);ויאמר אם יבוא עשו אל המחנה האחת והכהו והיה המחנה הנשאר לפליטה
(3596, 25, 4);[300, 8, 30, 5];343;שחלה;944;(1, 3, 14, 7, 944);עשית;2;(1, 3, 14, 24, 3596);ויאמר יהוה אלהים אל הנחש כי עשית זאת ארור אתה מכל הבהמה ומכל חית השדה על גחנך תלך ועפר תאכל כל ימי חייך
(6293, 28, 4);[300, 8, 30, 5];343;שחלה;1677;(1, 5, 21, 3, 1677);חמש;3;(1, 5, 21, 11, 6293);ויחי חנוך חמש וששים שנה ויולד את מתושלח
(23123, 28, 4);[300, 8, 30, 5];343;שחלה;6158;(1, 19, 16, 3, 6158);האנשים;4;(1, 19, 16, 18, 23123);ויתמהמה ויחזיקו האנשים בידו וביד אשתו וביד שתי בנתיו בחמלת יהוה עליו ויצאהו וינחהו מחוץ לעיר
(31275, 28, 4);[300, 8, 30, 5];343;שחלה;8351;(1, 24, 37, 12, 8351);ישב;2;(1, 24, 37, 47, 31275);וישבעני אדני לאמר לא תקח אשה לבני מבנות הכנעני אשר אנכי ישב בארצו
(3288, 29, 4);[300, 8, 30, 5];343;שחלה;863;(1, 3, 8, 1, 863);וישמעו;3;(1, 3, 8, 3, 3288);וישמעו את קול יהוה אלהים מתהלך בגן לרוח היום ויתחבא האדם ואשתו מפני יהוה אלהים בתוך עץ הגן
(5999, 31, 4);[300, 8, 30, 5];343;שחלה;1602;(1, 5, 14, 5, 1602);עשר;2;(1, 5, 14, 16, 5999);ויהיו כל ימי קינן עשר שנים ותשע מאות שנה וימת
(66782, 32, 4);[300, 8, 30, 5];343;שחלה;17687;(1, 43, 30, 13, 17687);שמה;1;(1, 43, 30, 51, 66782);וימהר יוסף כי נכמרו רחמיו אל אחיו ויבקש לבכות ויבא החדרה ויבך שמה
(343, 37, 4);[300, 8, 30, 5];343;שחלה;90;(1, 1, 8, 10, 90);שני;1;(1, 1, 8, 37, 343);ויקרא אלהים לרקיע שמים ויהי ערב ויהי בקר יום שני
(23135, 37, 4);[300, 8, 30, 5];343;שחלה;6161;(1, 19, 16, 6, 6161);אשתו;2;(1, 19, 16, 30, 23135);ויתמהמה ויחזיקו האנשים בידו וביד אשתו וביד שתי בנתיו בחמלת יהוה עליו ויצאהו וינחהו מחוץ לעיר
(26015, 41, 4);[300, 8, 30, 5];343;שחלה;6940;(1, 21, 15, 5, 6940);ותשלך;3;(1, 21, 15, 18, 26015);ויכלו המים מן החמת ותשלך את הילד תחת אחד השיחם
(9955, 42, 4);[300, 8, 30, 5];343;שחלה;2669;(1, 8, 17, 11, 2669);הרמש;4;(1, 8, 17, 40, 9955);כל החיה אשר אתך מכל בשר בעוף ובבהמה ובכל הרמש הרמש על הארץ הוצא אתך ושרצו בארץ ופרו ורבו על הארץ
(39127, 42, 4);[300, 8, 30, 5];343;שחלה;10410;(1, 28, 11, 7, 10410);השמש;4;(1, 28, 11, 24, 39127);ויפגע במקום וילן שם כי בא השמש ויקח מאבני המקום וישם מראשתיו וישכב במקום ההוא
(18692, 46, 4);[300, 8, 30, 5];343;שחלה;5010;(1, 16, 8, 3, 5010);שפחת;1;(1, 16, 8, 9, 18692);ויאמר הגר שפחת שרי אי מזה באת ואנה תלכי ותאמר מפני שרי גברתי אנכי ברחת
(35784, 46, 4);[300, 8, 30, 5];343;שחלה;9514;(1, 26, 26, 8, 9514);שר;1;(1, 26, 26, 34, 35784);ואבימלך הלך אליו מגרר ואחזת מרעהו ופיכל שר צבאו
(45486, 46, 4);[300, 8, 30, 5];343;שחלה;12130;(1, 31, 37, 2, 12130);מששת;3;(1, 31, 37, 5, 45486);כי מששת את כל כלי מה מצאת מכל כלי ביתך שים כה נגד אחי ואחיך ויוכיחו בין שנינו
(49728, 46, 4);[300, 8, 30, 5];343;שחלה;13253;(1, 34, 12, 7, 13253);כאשר;3;(1, 34, 12, 25, 49728);הרבו עלי מאד מהר ומתן ואתנה כאשר תאמרו אלי ותנו לי את הנער לאשה
(4139, 49, 4);[300, 8, 30, 5];343;שחלה;1089;(1, 3, 23, 9, 1089);אשר;2;(1, 3, 23, 35, 4139);וישלחהו יהוה אלהים מגן עדן לעבד את האדמה אשר לקח משם
(31338, 50, 4);[300, 8, 30, 5];343;שחלה;8370;(1, 24, 39, 7, 8370);האשה;3;(1, 24, 39, 21, 31338);ואמר אל אדני אלי לא תלך האשה אחרי
(32713, 52, 4);[300, 8, 30, 5];343;שחלה;8724;(1, 24, 65, 8, 8724);בשדה;2;(1, 24, 65, 27, 32713);ותאמר אל העבד מי האיש הלזה ההלך בשדה לקראתנו ויאמר העבד הוא אדני ותקח הצעיף ותתכס
(50888, 53, 4);[300, 8, 30, 5];343;שחלה;13562;(1, 35, 2, 13, 13562);אשר;2;(1, 35, 2, 42, 50888);ויאמר יעקב אל ביתו ואל כל אשר עמו הסרו את אלהי הנכר אשר בתככם והטהרו והחליפו שמלתיכם
