(n, d, k);[Gematria of ELS];Gematria WordTotal of ELS;ELS Search Term;Found in WordNumber In Text;WordCoordinatesDWTK;Found in Word In Text;LetterPositionIndex In Word;LetterCoordinatesD5K of First Letter in ELS;Found In Verse
(36970, 37, 4);[50, 1, 10, 100];161;קיאן;9823;(1, 27, 17, 1, 9823);ותתן;4;(1, 27, 17, 4, 36970);ותתן את המטעמים ואת הלחם אשר עשתה ביד יעקב בנה
(64884, 37, 4);[50, 1, 10, 100];161;קיאן;17214;(1, 42, 36, 16, 17214);כלנה;3;(1, 42, 36, 67, 64884);ויאמר אלהם יעקב אביהם אתי שכלתם יוסף איננו ושמעון איננו ואת בנימן תקחו עלי היו כלנה
(22496, 38, 4);[50, 1, 10, 100];161;קיאן;5994;(1, 19, 5, 14, 5994);ונדעה;2;(1, 19, 5, 56, 22496);ויקראו אל לוט ויאמרו לו איה האנשים אשר באו אליך הלילה הוציאם אלינו ונדעה אתם
(11164, 40, 4);[50, 1, 10, 100];161;קיאן;3005;(1, 9, 18, 13, 3005);כנען;2;(1, 9, 18, 42, 11164);ויהיו בני נח היצאים מן התבה שם וחם ויפת וחם הוא אבי כנען
(6968, 43, 4);[50, 1, 10, 100];161;קיאן;1856;(1, 6, 3, 15, 1856);שנה;2;(1, 6, 3, 56, 6968);ויאמר יהוה לא ידון רוחי באדם לעלם בשגם הוא בשר והיו ימיו מאה ועשרים שנה
(28365, 44, 4);[50, 1, 10, 100];161;קיאן;7570;(1, 23, 1, 7, 7570);שנה;2;(1, 23, 1, 25, 28365);ויהיו חיי שרה מאה שנה ועשרים שנה ושבע שנים שני חיי שרה
(36312, 44, 4);[50, 1, 10, 100];161;קיאן;9648;(1, 27, 2, 3, 9648);נא;1;(1, 27, 2, 9, 36312);ויאמר הנה נא זקנתי לא ידעתי יום מותי
(45841, 45, 4);[50, 1, 10, 100];161;קיאן;12222;(1, 31, 43, 1, 12222);ויען;4;(1, 31, 43, 4, 45841);ויען לבן ויאמר אל יעקב הבנות בנתי והבנים בני והצאן צאני וכל אשר אתה ראה לי הוא ולבנתי מה אעשה לאלה היום או לבניהן אשר ילדו
(49128, 51, 4);[50, 1, 10, 100];161;קיאן;13091;(1, 33, 19, 6, 13091);נטה;1;(1, 33, 19, 18, 49128);ויקן את חלקת השדה אשר נטה שם אהלו מיד בני חמור אבי שכם במאה קשיטה
(49911, 51, 4);[50, 1, 10, 100];161;קיאן;13305;(1, 34, 16, 1, 13305);ונתנו;4;(1, 34, 16, 4, 49911);ונתנו את בנתינו לכם ואת בנתיכם נקח לנו וישבנו אתכם והיינו לעם אחד
(17473, 52, 4);[50, 1, 10, 100];161;קיאן;4685;(1, 15, 3, 8, 4685);והנה;3;(1, 15, 3, 25, 17473);ויאמר אברם הן לי לא נתתה זרע והנה בן ביתי יורש אתי
(66984, 55, 4);[50, 1, 10, 100];161;קיאן;17734;(1, 43, 34, 8, 17734);בנימן;2;(1, 43, 34, 29, 66984);וישא משאת מאת פניו אלהם ותרב משאת בנימן ממשאת כלם חמש ידות וישתו וישכרו עמו
(76893, 55, 4);[50, 1, 10, 100];161;קיאן;20304;(1, 50, 5, 12, 20304);כנען;2;(1, 50, 5, 44, 76893);אבי השביעני לאמר הנה אנכי מת בקברי אשר כריתי לי בארץ כנען שמה תקברני ועתה אעלה נא ואקברה את אבי ואשובה
(68039, 56, 4);[50, 1, 10, 100];161;קיאן;18004;(1, 44, 20, 1, 18004);ונאמר;2;(1, 44, 20, 2, 68039);ונאמר אל אדני יש לנו אב זקן וילד זקנים קטן ואחיו מת ויותר הוא לבדו לאמו ואביו אהבו
(10836, 57, 4);[50, 1, 10, 100];161;קיאן;2915;(1, 9, 12, 13, 2915);נפש;1;(1, 9, 12, 48, 10836);ויאמר אלהים זאת אות הברית אשר אני נתן ביני וביניכם ובין כל נפש חיה אשר אתכם לדרת עולם
(68292, 58, 4);[50, 1, 10, 100];161;קיאן;18074;(1, 44, 26, 1, 18074);ונאמר;2;(1, 44, 26, 2, 68292);ונאמר לא נוכל לרדת אם יש אחינו הקטן אתנו וירדנו כי לא נוכל לראות פני האיש ואחינו הקטן איננו אתנו
(43039, 59, 4);[50, 1, 10, 100];161;קיאן;11477;(1, 30, 33, 19, 11477);גנוב;2;(1, 30, 33, 71, 43039);וענתה בי צדקתי ביום מחר כי תבוא על שכרי לפניך כל אשר איננו נקד וטלוא בעזים וחום בכשבים גנוב הוא אתי
(59329, 63, 4);[50, 1, 10, 100];161;קיאן;15764;(1, 40, 10, 7, 15764);נצה;1;(1, 40, 10, 28, 59329);ובגפן שלשה שריגם והוא כפרחת עלתה נצה הבשילו אשכלתיה ענבים
(17072, 64, 4);[50, 1, 10, 100];161;קיאן;4571;(1, 14, 19, 6, 4571);עליון;5;(1, 14, 19, 28, 17072);ויברכהו ויאמר ברוך אברם לאל עליון קנה שמים וארץ
(43015, 64, 4);[50, 1, 10, 100];161;קיאן;11472;(1, 30, 33, 14, 11472);נקד;1;(1, 30, 33, 47, 43015);וענתה בי צדקתי ביום מחר כי תבוא על שכרי לפניך כל אשר איננו נקד וטלוא בעזים וחום בכשבים גנוב הוא אתי
(48853, 64, 4);[50, 1, 10, 100];161;קיאן;13015;(1, 33, 14, 2, 13015);נא;1;(1, 33, 14, 5, 48853);יעבר נא אדני לפני עבדו ואני אתנהלה לאטי לרגל המלאכה אשר לפני ולרגל הילדים עד אשר אבא אל אדני שעירה
(40140, 65, 4);[50, 1, 10, 100];161;קיאן;10676;(1, 29, 7, 9, 10676);המקנה;4;(1, 29, 7, 30, 40140);ויאמר הן עוד היום גדול לא עת האסף המקנה השקו הצאן ולכו רעו
(18722, 66, 4);[50, 1, 10, 100];161;קיאן;5018;(1, 16, 8, 11, 5018);מפני;3;(1, 16, 8, 39, 18722);ויאמר הגר שפחת שרי אי מזה באת ואנה תלכי ותאמר מפני שרי גברתי אנכי ברחת
(43012, 67, 4);[50, 1, 10, 100];161;קיאן;11471;(1, 30, 33, 13, 11471);איננו;3;(1, 30, 33, 44, 43012);וענתה בי צדקתי ביום מחר כי תבוא על שכרי לפניך כל אשר איננו נקד וטלוא בעזים וחום בכשבים גנוב הוא אתי
(37720, 68, 4);[50, 1, 10, 100];161;קיאן;10023;(1, 27, 31, 15, 10023);תברכני;5;(1, 27, 31, 61, 37720);ויעש גם הוא מטעמים ויבא לאביו ויאמר לאביו יקם אבי ויאכל מציד בנו בעבר תברכני נפשך
(60796, 68, 4);[50, 1, 10, 100];161;קיאן;16144;(1, 41, 15, 8, 16144);אין;3;(1, 41, 15, 31, 60796);ויאמר פרעה אל יוסף חלום חלמתי ופתר אין אתו ואני שמעתי עליך לאמר תשמע חלום לפתר אתו
(51734, 69, 4);[50, 1, 10, 100];161;קיאן;13788;(1, 35, 18, 9, 13788);אוני;3;(1, 35, 18, 30, 51734);ויהי בצאת נפשה כי מתה ותקרא שמו בן אוני ואביו קרא לו בנימין
(73055, 69, 4);[50, 1, 10, 100];161;קיאן;19312;(1, 47, 19, 7, 19312);אדמתנו;5;(1, 47, 19, 27, 73055);למה נמות לעיניך גם אנחנו גם אדמתנו קנה אתנו ואת אדמתנו בלחם ונהיה אנחנו ואדמתנו עבדים לפרעה ותן זרע ונחיה ולא נמות והאדמה לא תשם
(8248, 70, 4);[50, 1, 10, 100];161;קיאן;2209;(1, 7, 7, 5, 2209);ונשי;2;(1, 7, 7, 18, 8248);ויבא נח ובניו ואשתו ונשי בניו אתו אל התבה מפני מי המבול
(36598, 74, 4);[50, 1, 10, 100];161;קיאן;9723;(1, 27, 8, 6, 9723);אני;2;(1, 27, 8, 20, 36598);ועתה בני שמע בקלי לאשר אני מצוה אתך
(45844, 76, 4);[50, 1, 10, 100];161;קיאן;12223;(1, 31, 43, 2, 12223);לבן;3;(1, 31, 43, 7, 45844);ויען לבן ויאמר אל יעקב הבנות בנתי והבנים בני והצאן צאני וכל אשר אתה ראה לי הוא ולבנתי מה אעשה לאלה היום או לבניהן אשר ילדו
(5584, 78, 4);[50, 1, 10, 100];161;קיאן;1493;(1, 5, 4, 8, 1493);שמנה;3;(1, 5, 4, 28, 5584);ויהיו ימי אדם אחרי הולידו את שת שמנה מאת שנה ויולד בנים ובנות
(10863, 78, 4);[50, 1, 10, 100];161;קיאן;2923;(1, 9, 13, 3, 2923);נתתי;1;(1, 9, 13, 7, 10863);את קשתי נתתי בענן והיתה לאות ברית ביני ובין הארץ
(73004, 78, 4);[50, 1, 10, 100];161;קיאן;19300;(1, 47, 18, 23, 19300);לפני;3;(1, 47, 18, 84, 73004);ותתם השנה ההוא ויבאו אליו בשנה השנית ויאמרו לו לא נכחד מאדני כי אם תם הכסף ומקנה הבהמה אל אדני לא נשאר לפני אדני בלתי אם גויתנו ואדמתנו
(31811, 80, 4);[50, 1, 10, 100];161;קיאן;8494;(1, 24, 47, 10, 8494);בן;2;(1, 24, 47, 32, 31811);ואשאל אתה ואמר בת מי את ותאמר בת בתואל בן נחור אשר ילדה לו מלכה ואשם הנזם על אפה והצמידים על ידיה
(45804, 82, 4);[50, 1, 10, 100];161;קיאן;12212;(1, 31, 42, 13, 12212);שלחתני;5;(1, 31, 42, 47, 45804);לולי אלהי אבי אלהי אברהם ופחד יצחק היה לי כי עתה ריקם שלחתני את עניי ואת יגיע כפי ראה אלהים ויוכח אמש
(43039, 86, 4);[50, 1, 10, 100];161;קיאן;11477;(1, 30, 33, 19, 11477);גנוב;2;(1, 30, 33, 71, 43039);וענתה בי צדקתי ביום מחר כי תבוא על שכרי לפניך כל אשר איננו נקד וטלוא בעזים וחום בכשבים גנוב הוא אתי
(29482, 88, 4);[50, 1, 10, 100];161;קיאן;7875;(1, 24, 3, 13, 7875);הכנעני;3;(1, 24, 3, 53, 29482);ואשביעך ביהוה אלהי השמים ואלהי הארץ אשר לא תקח אשה לבני מבנות הכנעני אשר אנכי יושב בקרבו
(50775, 88, 4);[50, 1, 10, 100];161;קיאן;13529;(1, 34, 31, 5, 13529);אחותנו;5;(1, 34, 31, 23, 50775);ויאמרו הכזונה יעשה את אחותנו
(68052, 88, 4);[50, 1, 10, 100];161;קיאן;18008;(1, 44, 20, 5, 18008);לנו;2;(1, 44, 20, 15, 68052);ונאמר אל אדני יש לנו אב זקן וילד זקנים קטן ואחיו מת ויותר הוא לבדו לאמו ואביו אהבו
(5527, 89, 4);[50, 1, 10, 100];161;קיאן;1478;(1, 5, 3, 5, 1478);שנה;2;(1, 5, 3, 18, 5527);ויחי אדם שלשים ומאת שנה ויולד בדמותו כצלמו ויקרא את שמו שת
(39203, 92, 4);[50, 1, 10, 100];161;קיאן;10427;(1, 28, 12, 9, 10427);והנה;3;(1, 28, 12, 37, 39203);ויחלם והנה סלם מצב ארצה וראשו מגיע השמימה והנה מלאכי אלהים עלים וירדים בו
(46113, 94, 4);[50, 1, 10, 100];161;קיאן;12294;(1, 31, 48, 10, 12294);כן;2;(1, 31, 48, 33, 46113);ויאמר לבן הגל הזה עד ביני ובינך היום על כן קרא שמו גלעד
(58691, 95, 4);[50, 1, 10, 100];161;קיאן;15599;(1, 39, 21, 9, 15599);חנו;2;(1, 39, 21, 30, 58691);ויהי יהוה את יוסף ויט אליו חסד ויתן חנו בעיני שר בית הסהר
(8997, 96, 4);[50, 1, 10, 100];161;קיאן;2413;(1, 7, 22, 3, 2413);נשמת;1;(1, 7, 22, 6, 8997);כל אשר נשמת רוח חיים באפיו מכל אשר בחרבה מתו
(29894, 96, 4);[50, 1, 10, 100];161;קיאן;7987;(1, 24, 10, 10, 7987);אדניו;3;(1, 24, 10, 40, 29894);ויקח העבד עשרה גמלים מגמלי אדניו וילך וכל טוב אדניו בידו ויקם וילך אל ארם נהרים אל עיר נחור
(4123, 99, 4);[50, 1, 10, 100];161;קיאן;1084;(1, 3, 23, 4, 1084);מגן;3;(1, 3, 23, 19, 4123);וישלחהו יהוה אלהים מגן עדן לעבד את האדמה אשר לקח משם
(37126, 99, 4);[50, 1, 10, 100];161;קיאן;9865;(1, 27, 20, 4, 9865);בנו;2;(1, 27, 20, 13, 37126);ויאמר יצחק אל בנו מה זה מהרת למצא בני ויאמר כי הקרה יהוה אלהיך לפני
(46357, 4, 4);[5, 30, 8, 300];343;שחלה;12364;(1, 31, 53, 2, 12364);אברהם;4;(1, 31, 53, 8, 46357);אלהי אברהם ואלהי נחור ישפטו בינינו אלהי אביהם וישבע יעקב בפחד אביו יצחק
(73275, 4, 4);[5, 30, 8, 300];343;שחלה;19369;(1, 47, 22, 10, 19369);פרעה;4;(1, 47, 22, 34, 73275);רק אדמת הכהנים לא קנה כי חק לכהנים מאת פרעה ואכלו את חקם אשר נתן להם פרעה על כן לא מכרו את אדמתם
(65199, 11, 4);[5, 30, 8, 300];343;שחלה;17298;(1, 43, 4, 7, 17298);נרדה;4;(1, 43, 4, 24, 65199);אם ישך משלח את אחינו אתנו נרדה ונשברה לך אכל
(47459, 14, 4);[5, 30, 8, 300];343;שחלה;12639;(1, 32, 19, 4, 12639);מנחה;4;(1, 32, 19, 19, 47459);ואמרת לעבדך ליעקב מנחה הוא שלוחה לאדני לעשו והנה גם הוא אחרינו
(65140, 14, 4);[5, 30, 8, 300];343;שחלה;17282;(1, 43, 3, 6, 17282);העד;1;(1, 43, 3, 22, 65140);ויאמר אליו יהודה לאמר העד העד בנו האיש לאמר לא תראו פני בלתי אחיכם אתכם
(6674, 16, 4);[5, 30, 8, 300];343;שחלה;1772;(1, 5, 29, 12, 1772);האדמה;5;(1, 5, 29, 49, 6674);ויקרא את שמו נח לאמר זה ינחמנו ממעשנו ומעצבון ידינו מן האדמה אשר אררה יהוה
(45263, 16, 4);[5, 30, 8, 300];343;שחלה;12068;(1, 31, 33, 9, 12068);האמהת;4;(1, 31, 33, 35, 45263);ויבא לבן באהל יעקב ובאהל לאה ובאהל שתי האמהת ולא מצא ויצא מאהל לאה ויבא באהל רחל
(32799, 20, 4);[5, 30, 8, 300];343;שחלה;8744;(1, 24, 67, 4, 8744);שרה;3;(1, 24, 67, 17, 32799);ויבאה יצחק האהלה שרה אמו ויקח את רבקה ותהי לו לאשה ויאהבה וינחם יצחק אחרי אמו
(51960, 21, 4);[5, 30, 8, 300];343;שחלה;13845;(1, 35, 23, 8, 13845);ויהודה;3;(1, 35, 23, 32, 51960);בני לאה בכור יעקב ראובן ושמעון ולוי ויהודה ויששכר וזבלון
(61082, 21, 4);[5, 30, 8, 300];343;שחלה;16215;(1, 41, 21, 1, 16215);ותבאנה;6;(1, 41, 21, 6, 61082);ותבאנה אל קרבנה ולא נודע כי באו אל קרבנה ומראיהן רע כאשר בתחלה ואיקץ
(25826, 27, 4);[5, 30, 8, 300];343;שחלה;6886;(1, 21, 12, 4, 6886);אברהם;4;(1, 21, 12, 16, 25826);ויאמר אלהים אל אברהם אל ירע בעיניך על הנער ועל אמתך כל אשר תאמר אליך שרה שמע בקלה כי ביצחק יקרא לך זרע
(33289, 27, 4);[5, 30, 8, 300];343;שחלה;8875;(1, 25, 10, 11, 8875);ושרה;4;(1, 25, 10, 38, 33289);השדה אשר קנה אברהם מאת בני חת שמה קבר אברהם ושרה אשתו
(21781, 30, 4);[5, 30, 8, 300];343;שחלה;5817;(1, 18, 27, 6, 5817);הואלתי;1;(1, 18, 27, 20, 21781);ויען אברהם ויאמר הנה נא הואלתי לדבר אל אדני ואנכי עפר ואפר
(69751, 33, 4);[5, 30, 8, 300];343;שחלה;18457;(1, 45, 19, 2, 18457);צויתה;5;(1, 45, 19, 9, 69751);ואתה צויתה זאת עשו קחו לכם מארץ מצרים עגלות לטפכם ולנשיכם ונשאתם את אביכם ובאתם
(25901, 38, 4);[5, 30, 8, 300];343;שחלה;6909;(1, 21, 13, 4, 6909);האמה;4;(1, 21, 13, 11, 25901);וגם את בן האמה לגוי אשימנו כי זרעך הוא
(73521, 39, 4);[5, 30, 8, 300];343;שחלה;19431;(1, 47, 26, 7, 19431);הזה;1;(1, 47, 26, 21, 73521);וישם אתה יוסף לחק עד היום הזה על אדמת מצרים לפרעה לחמש רק אדמת הכהנים לבדם לא היתה לפרעה
(33005, 40, 4);[5, 30, 8, 300];343;שחלה;8799;(1, 25, 4, 11, 8799);קטורה;5;(1, 25, 4, 45, 33005);ובני מדין עיפה ועפר וחנך ואבידע ואלדעה כל אלה בני קטורה
(15054, 41, 4);[5, 30, 8, 300];343;שחלה;4029;(1, 12, 18, 9, 4029);למה;3;(1, 12, 18, 33, 15054);ויקרא פרעה לאברם ויאמר מה זאת עשית לי למה לא הגדת לי כי אשתך הוא
(56258, 41, 4);[5, 30, 8, 300];343;שחלה;14955;(1, 38, 7, 9, 14955);יהוה;4;(1, 38, 7, 36, 56258);ויהי ער בכור יהודה רע בעיני יהוה וימתהו יהוה
(6398, 45, 4);[5, 30, 8, 300];343;שחלה;1703;(1, 5, 23, 7, 1703);שנה;3;(1, 5, 23, 24, 6398);ויהי כל ימי חנוך חמש וששים שנה ושלש מאות שנה
(19949, 45, 4);[5, 30, 8, 300];343;שחלה;5342;(1, 17, 17, 13, 5342);שרה;3;(1, 17, 17, 49, 19949);ויפל אברהם על פניו ויצחק ויאמר בלבו הלבן מאה שנה יולד ואם שרה הבת תשעים שנה תלד
(55170, 49, 4);[5, 30, 8, 300];343;שחלה;14678;(1, 37, 22, 2, 14678);אלהם;3;(1, 37, 22, 8, 55170);ויאמר אלהם ראובן אל תשפכו דם השליכו אתו אל הבור הזה אשר במדבר ויד אל תשלחו בו למען הציל אתו מידם להשיבו אל אביו
(22440, 51, 4);[5, 30, 8, 300];343;שחלה;5980;(1, 19, 4, 15, 5980);מקצה;4;(1, 19, 4, 53, 22440);טרם ישכבו ואנשי העיר אנשי סדם נסבו על הבית מנער ועד זקן כל העם מקצה
(41673, 55, 4);[5, 30, 8, 300];343;שחלה;11108;(1, 30, 4, 4, 11108);בלהה;3;(1, 30, 4, 11, 41673);ותתן לו את בלהה שפחתה לאשה ויבא אליה יעקב
(9589, 56, 4);[5, 30, 8, 300];343;שחלה;2570;(1, 8, 9, 21, 2570);אתה;3;(1, 8, 9, 73, 9589);ולא מצאה היונה מנוח לכף רגלה ותשב אליו אל התבה כי מים על פני כל הארץ וישלח ידו ויקחה ויבא אתה אליו אל התבה
(43789, 56, 4);[5, 30, 8, 300];343;שחלה;11664;(1, 31, 4, 5, 11664);וללאה;5;(1, 31, 4, 23, 43789);וישלח יעקב ויקרא לרחל וללאה השדה אל צאנו
(8311, 57, 4);[5, 30, 8, 300];343;שחלה;2226;(1, 7, 8, 10, 2226);העוף;1;(1, 7, 8, 37, 8311);מן הבהמה הטהורה ומן הבהמה אשר איננה טהרה ומן העוף וכל אשר רמש על האדמה
(40423, 59, 4);[5, 30, 8, 300];343;שחלה;10758;(1, 29, 12, 14, 10758);לאביה;5;(1, 29, 12, 49, 40423);ויגד יעקב לרחל כי אחי אביה הוא וכי בן רבקה הוא ותרץ ותגד לאביה
(19950, 61, 4);[5, 30, 8, 300];343;שחלה;5343;(1, 17, 17, 14, 5343);הבת;1;(1, 17, 17, 50, 19950);ויפל אברהם על פניו ויצחק ויאמר בלבו הלבן מאה שנה יולד ואם שרה הבת תשעים שנה תלד
(28400, 63, 4);[5, 30, 8, 300];343;שחלה;7580;(1, 23, 2, 5, 7580);הוא;1;(1, 23, 2, 17, 28400);ותמת שרה בקרית ארבע הוא חברון בארץ כנען ויבא אברהם לספד לשרה ולבכתה
(18225, 67, 4);[5, 30, 8, 300];343;שחלה;4888;(1, 15, 20, 2, 4888);החתי;1;(1, 15, 20, 4, 18225);ואת החתי ואת הפרזי ואת הרפאים
(3453, 69, 4);[5, 30, 8, 300];343;שחלה;907;(1, 3, 11, 9, 907);העץ;1;(1, 3, 11, 26, 3453);ויאמר מי הגיד לך כי עירם אתה המן העץ אשר צויתיך לבלתי אכל ממנו אכלת
(58804, 70, 4);[5, 30, 8, 300];343;שחלה;15634;(1, 39, 23, 11, 15634);יהוה;2;(1, 39, 23, 34, 58804);אין שר בית הסהר ראה את כל מאומה בידו באשר יהוה אתו ואשר הוא עשה יהוה מצליח
(2112, 72, 4);[5, 30, 8, 300];343;שחלה;549;(1, 2, 9, 9, 549);למראה;5;(1, 2, 9, 34, 2112);ויצמח יהוה אלהים מן האדמה כל עץ נחמד למראה וטוב למאכל ועץ החיים בתוך הגן ועץ הדעת טוב ורע
(46249, 75, 4);[5, 30, 8, 300];343;שחלה;12333;(1, 31, 51, 8, 12333);המצבה;1;(1, 31, 51, 27, 46249);ויאמר לבן ליעקב הנה הגל הזה והנה המצבה אשר יריתי ביני ובינך
(60447, 76, 4);[5, 30, 8, 300];343;שחלה;16052;(1, 41, 8, 15, 16052);פרעה;4;(1, 41, 8, 60, 60447);ויהי בבקר ותפעם רוחו וישלח ויקרא את כל חרטמי מצרים ואת כל חכמיה ויספר פרעה להם את חלמו ואין פותר אותם לפרעה
(8385, 77, 4);[5, 30, 8, 300];343;שחלה;2248;(1, 7, 10, 3, 2248);הימים;1;(1, 7, 10, 10, 8385);ויהי לשבעת הימים ומי המבול היו על הארץ
(51622, 79, 4);[5, 30, 8, 300];343;שחלה;13757;(1, 35, 16, 4, 13757);ויהי;3;(1, 35, 16, 14, 51622);ויסעו מבית אל ויהי עוד כברת הארץ לבוא אפרתה ותלד רחל ותקש בלדתה
(45303, 82, 4);[5, 30, 8, 300];343;שחלה;12080;(1, 31, 34, 4, 12080);התרפים;1;(1, 31, 34, 11, 45303);ורחל לקחה את התרפים ותשמם בכר הגמל ותשב עליהם וימשש לבן את כל האהל ולא מצא
(6044, 85, 4);[5, 30, 8, 300];343;שחלה;1613;(1, 5, 15, 6, 1613);שנה;3;(1, 5, 15, 25, 6044);ויחי מהללאל חמש שנים וששים שנה ויולד את ירד
(62809, 86, 4);[5, 30, 8, 300];343;שחלה;16677;(1, 41, 54, 16, 16677);היה;3;(1, 41, 54, 63, 62809);ותחלינה שבע שני הרעב לבוא כאשר אמר יוסף ויהי רעב בכל הארצות ובכל ארץ מצרים היה לחם
